siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2018-09-19,35,2019-01-06,
2018-09-19,35,,
2018-09-19,35,2018-10-03,
2018-09-19,35,2018-09-16,
2018-09-19,35,2018-09-17,
2018-09-19,35,2018-10-29,
2018-09-19,35,2018-10-29,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,2018-10-27,
2018-09-19,35,2018-11-06,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,35,,
2018-09-19,3 HAFTA,,
2018-09-24,7 GÜN,,
2018-09-26,20 GÜN,,
2018-10-12,50 GÜN,,
2018-10-23,20 GÜN,,
2018-10-31,15 GÜN,,
2018-11-13,30 GÜN,,
2018-11-13,15GÜN,,
2018-11-14,60 GÜN,,
2018-11-15,50 GÜN,,
2018-12-20,51 GÜN,,
2018-11-15,55 GÜN,2018-10-10,
2018-11-16,20 GÜN,2018-10-02,
2018-11-16,20 GÜN,2018-10-16,
2018-12-01,29 GÜN,2018-12-01,
2018-12-01,30 GÜN,2018-11-12,
2018-12-06,30 GÜN,,
2018-12-06,30 GÜN,2018-11-15,
2018-12-24,15 GÜN,2018-12-13,
2018-01-05,16 GÜN,2018-11-28,
2018-01-23,17 GÜN,2019-01-12,
2018-08-30,18 GÜN,2019-01-01,
2019-03-15,54,,
2019-01-02,26,,
2019-01-10,15,,
2019-01-28,14,,
2019-02-19,28,,
2019-01-28,50,,
2019-02-08,28,,
2019-02-12,139,,
2019-08-23,54,,
2019-04-24,54,,
2019-05-11,4,,
2019-03-15,54,,
2019-06-27,54,,
2019-02-22,54,,
2019-07-19,13,,
2019-02-22,54,,
2019-11-12,23,,
2019-11-05,14,,
2019-11-05,64,,
2019-11-05,64,,
2019-02-15,54,,
2019-03-13,29,,
2019-03-21,28,,
2019-03-21,28,,
2019-04-15,5,,
2019-04-15,6,,
2019-04-27,37,,
2019-04-27,37,,
2019-05-08,43,,
2019-05-08,24,,
2019-05-08,24,,
2019-05-11,19,,
2019-05-16,15,,
2019-05-16,16,,
2019-06-27,54,,
2019-05-20,1,,
2019-05-21,49,,
2019-11-11,59,,
2019-07-23,16,,
2019-05-29,31,,
2019-05-30,54,,
2019-05-30,54,,
2019-05-31,54,,
2019-05-31,54,,
2019-05-31,54,,
2019-05-31,54,,
2019-12-16,4,,
2019-07-29,12,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-19,27,,
2019-08-21,26,,
2019-08-21,27,,
2019-08-29,54,,
2019-09-04,19,,
2019-09-11,10,,
2019-09-19,16,,
2019-10-10,10,,
2019-10-10,10,,
2019-10-10,64,,
2019-10-10,64,,
2019-10-10,64,,
2019-09-19,16,,
2019-10-31,64,,
2019-11-15,59,,
2019-12-04,59,,
2019-12-23,31,,
2019-11-12,19,,
2019-10-28,59,,
2019-11-28,64,,
2019-11-25,59,,
2019-11-12,64,,
2019-11-05,59,,
2019-12-16,4,,
2019-12-06,15,,
2019-11-05,25,,
2019-11-25,59,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-11-29,26,,
2019-12-02,59,,
2019-12-03,22,,
2019-12-03,22,,
2019-12-03,22,,
2019-12-03,22,,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
2019-12-17 00:00:00,46.0,2020-02-01 00:00:00,
